Region/Country/Area,Name,Year,Series,Value,Footnotes,Source
2,Africa,2010,GDP in current prices (millions of US dollars),"1,969,815",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP in current prices (millions of US dollars),"2,314,902",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP in current prices (millions of US dollars),"2,244,978",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP in current prices (millions of US dollars),"2,368,474",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP in current prices (millions of US dollars),"2,460,599",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,1995,GDP per capita (US dollars),819,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2005,GDP per capita (US dollars),"1,233",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2010,GDP per capita (US dollars),"1,898",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP per capita (US dollars),"1,960",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP per capita (US dollars),"1,807",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP per capita (US dollars),"1,859",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP per capita (US dollars),"1,884",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,1995,GDP in constant 2010 prices (millions of US dollars),"1,032,355",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2005,GDP in constant 2010 prices (millions of US dollars),"1,583,265",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2010,GDP in constant 2010 prices (millions of US dollars),"2,062,317",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP in constant 2010 prices (millions of US dollars),"2,314,902",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP in constant 2010 prices (millions of US dollars),"2,434,619",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP in constant 2010 prices (millions of US dollars),"2,515,099",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP in constant 2010 prices (millions of US dollars),"2,591,409",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,1995,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2010,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2015,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2017,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2018,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
2,Africa,2019,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),"207,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),"373,106",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),"648,783",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),"729,675",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP in current prices (millions of US dollars),"661,595",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP in current prices (millions of US dollars),"666,133",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP in current prices (millions of US dollars),"714,511",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP per capita (US dollars),"1,285",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP per capita (US dollars),"1,928",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP per capita (US dollars),"3,205",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP per capita (US dollars),"3,267",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP per capita (US dollars),"2,849",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP per capita (US dollars),"2,814",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP per capita (US dollars),"2,962",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"387,724",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"596,723",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"763,487",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"729,675",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP in constant 2010 prices (millions of US dollars),"789,275",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"822,019",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"852,270",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,1995,GDP real rates of growth (percent),1.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2005,GDP real rates of growth (percent),6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2010,GDP real rates of growth (percent),4.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2015,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2017,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2018,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
15,Northern Africa,2019,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),"379,537",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),"754,960",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),"1,321,032",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),"1,585,227",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP in current prices (millions of US dollars),"1,583,383",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),"1,702,341",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),"1,746,088",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),684,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),"1,047",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),"1,581",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),"1,656",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP per capita (US dollars),"1,567",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP per capita (US dollars),"1,641",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP per capita (US dollars),"1,639",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP in constant 2010 prices (millions of US dollars),"644,632",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP in constant 2010 prices (millions of US dollars),"986,542",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP in constant 2010 prices (millions of US dollars),"1,298,830",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP in constant 2010 prices (millions of US dollars),"1,585,227",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP in constant 2010 prices (millions of US dollars),"1,645,344",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP in constant 2010 prices (millions of US dollars),"1,693,081",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP in constant 2010 prices (millions of US dollars),"1,739,138",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2017,GDP real rates of growth (percent),2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2018,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"69,332",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"112,661",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"217,614",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
