Region/Country/Area,Name,Year,Series,Value,Footnotes,Source
145,Western Asia,2018,GDP real rates of growth (percent),2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
145,Western Asia,2019,GDP real rates of growth (percent),1.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,1995,GDP in current prices (millions of US dollars),"10,642,810",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2005,GDP in current prices (millions of US dollars),"16,120,625",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2010,GDP in current prices (millions of US dollars),"19,889,619",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2015,GDP in current prices (millions of US dollars),"19,188,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2017,GDP in current prices (millions of US dollars),"20,395,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2018,GDP in current prices (millions of US dollars),"21,991,871",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2019,GDP in current prices (millions of US dollars),"21,644,995",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,1995,GDP per capita (US dollars),"14,611",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2005,GDP per capita (US dollars),"22,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2010,GDP per capita (US dollars),"26,945",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2015,GDP per capita (US dollars),"25,760",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2017,GDP per capita (US dollars),"27,294",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2018,GDP per capita (US dollars),"29,390",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2019,GDP per capita (US dollars),"28,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,1995,GDP in constant 2010 prices (millions of US dollars),"13,260,913",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2005,GDP in constant 2010 prices (millions of US dollars),"17,040,642",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2010,GDP in constant 2010 prices (millions of US dollars),"18,047,080",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2015,GDP in constant 2010 prices (millions of US dollars),"19,188,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2017,GDP in constant 2010 prices (millions of US dollars),"20,028,547",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2018,GDP in constant 2010 prices (millions of US dollars),"20,439,449",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2019,GDP in constant 2010 prices (millions of US dollars),"20,742,308",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,1995,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2005,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2010,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2015,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2017,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2018,GDP real rates of growth (percent),2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
150,Europe,2019,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,1995,GDP in current prices (millions of US dollars),"794,684",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2005,GDP in current prices (millions of US dollars),"1,629,179",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2010,GDP in current prices (millions of US dollars),"2,867,785",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2015,GDP in current prices (millions of US dollars),"2,629,553",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2017,GDP in current prices (millions of US dollars),"3,008,402",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2018,GDP in current prices (millions of US dollars),"3,281,110",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2019,GDP in current prices (millions of US dollars),"3,354,841",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,1995,GDP per capita (US dollars),"2,568",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2005,GDP per capita (US dollars),"5,476",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2010,GDP per capita (US dollars),"9,725",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2015,GDP per capita (US dollars),"8,932",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2017,GDP per capita (US dollars),"10,231",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2018,GDP per capita (US dollars),"11,168",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2019,GDP per capita (US dollars),"11,433",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,1995,GDP in constant 2010 prices (millions of US dollars),"1,414,659",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2005,GDP in constant 2010 prices (millions of US dollars),"2,028,995",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2010,GDP in constant 2010 prices (millions of US dollars),"2,396,736",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2015,GDP in constant 2010 prices (millions of US dollars),"2,629,553",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2017,GDP in constant 2010 prices (millions of US dollars),"2,755,260",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2018,GDP in constant 2010 prices (millions of US dollars),"2,851,377",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2019,GDP in constant 2010 prices (millions of US dollars),"2,923,384",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,1995,GDP real rates of growth (percent),-0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2005,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2010,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2015,GDP real rates of growth (percent),0.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2017,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2018,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
151,Eastern Europe,2019,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,1995,GDP in current prices (millions of US dollars),"2,173,075",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2005,GDP in current prices (millions of US dollars),"3,988,857",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2010,GDP in current prices (millions of US dollars),"4,293,790",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2015,GDP in current prices (millions of US dollars),"4,761,422",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2017,GDP in current prices (millions of US dollars),"4,658,249",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2018,GDP in current prices (millions of US dollars),"5,010,428",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2019,GDP in current prices (millions of US dollars),"4,923,042",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,1995,GDP per capita (US dollars),"23,388",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2005,GDP per capita (US dollars),"41,539",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2010,GDP per capita (US dollars),"42,892",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2015,GDP per capita (US dollars),"46,128",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2017,GDP per capita (US dollars),"44,630",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2018,GDP per capita (US dollars),"47,748",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2019,GDP per capita (US dollars),"46,680",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,1995,GDP in constant 2010 prices (millions of US dollars),"2,987,612",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2005,GDP in constant 2010 prices (millions of US dollars),"4,139,140",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2010,GDP in constant 2010 prices (millions of US dollars),"4,280,785",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2015,GDP in constant 2010 prices (millions of US dollars),"4,761,422",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2017,GDP in constant 2010 prices (millions of US dollars),"4,975,271",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2018,GDP in constant 2010 prices (millions of US dollars),"5,071,883",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2019,GDP in constant 2010 prices (millions of US dollars),"5,158,251",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,1995,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2005,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2010,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2015,GDP real rates of growth (percent),3.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2017,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2018,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
154,Northern Europe,2019,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,1995,GDP in current prices (millions of US dollars),"2,126,575",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2005,GDP in current prices (millions of US dollars),"3,608,034",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2010,GDP in current prices (millions of US dollars),"4,302,051",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2015,GDP in current prices (millions of US dollars),"3,621,001",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2017,GDP in current prices (millions of US dollars),"3,915,732",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2018,GDP in current prices (millions of US dollars),"4,214,986",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2019,GDP in current prices (millions of US dollars),"4,088,495",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,1995,GDP per capita (US dollars),"14,737",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2005,GDP per capita (US dollars),"24,111",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2010,GDP per capita (US dollars),"28,121",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2015,GDP per capita (US dollars),"23,662",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2017,GDP per capita (US dollars),"25,633",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2018,GDP per capita (US dollars),"27,621",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2019,GDP per capita (US dollars),"26,825",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,1995,GDP in constant 2010 prices (millions of US dollars),"2,888,893",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2005,GDP in constant 2010 prices (millions of US dollars),"3,682,121",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2010,GDP in constant 2010 prices (millions of US dollars),"3,730,729",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2015,GDP in constant 2010 prices (millions of US dollars),"3,621,001",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2017,GDP in constant 2010 prices (millions of US dollars),"3,774,967",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2018,GDP in constant 2010 prices (millions of US dollars),"3,840,908",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2019,GDP in constant 2010 prices (millions of US dollars),"3,888,692",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,1995,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2005,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2010,GDP real rates of growth (percent),0.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2015,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2017,GDP real rates of growth (percent),2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2018,GDP real rates of growth (percent),1.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
39,Southern Europe,2019,GDP real rates of growth (percent),1.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,1995,GDP in current prices (millions of US dollars),"5,548,476",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2005,GDP in current prices (millions of US dollars),"6,894,555",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2010,GDP in current prices (millions of US dollars),"8,425,993",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2015,GDP in current prices (millions of US dollars),"8,176,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2017,GDP in current prices (millions of US dollars),"8,813,125",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2018,GDP in current prices (millions of US dollars),"9,485,347",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2019,GDP in current prices (millions of US dollars),"9,278,618",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,1995,GDP per capita (US dollars),"30,527",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2005,GDP per capita (US dollars),"36,717",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2010,GDP per capita (US dollars),"44,301",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2015,GDP per capita (US dollars),"42,095",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2017,GDP per capita (US dollars),"44,950",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2018,GDP per capita (US dollars),"48,160",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2019,GDP per capita (US dollars),"46,922",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,1995,GDP in constant 2010 prices (millions of US dollars),"5,969,749",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2005,GDP in constant 2010 prices (millions of US dollars),"7,190,386",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2010,GDP in constant 2010 prices (millions of US dollars),"7,638,829",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2015,GDP in constant 2010 prices (millions of US dollars),"8,176,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2017,GDP in constant 2010 prices (millions of US dollars),"8,523,050",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2018,GDP in constant 2010 prices (millions of US dollars),"8,675,281",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2019,GDP in constant 2010 prices (millions of US dollars),"8,771,981",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,1995,GDP real rates of growth (percent),1.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2005,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2010,GDP real rates of growth (percent),3.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2015,GDP real rates of growth (percent),1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2017,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2018,GDP real rates of growth (percent),1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
155,Western Europe,2019,GDP real rates of growth (percent),1.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,1995,GDP in current prices (millions of US dollars),"473,324",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2005,GDP in current prices (millions of US dollars),"900,402",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2010,GDP in current prices (millions of US dollars),"1,482,494",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2015,GDP in current prices (millions of US dollars),"1,470,029",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2017,GDP in current prices (millions of US dollars),"1,670,461",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2018,GDP in current prices (millions of US dollars),"1,718,161",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2019,GDP in current prices (millions of US dollars),"1,638,770",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,1995,GDP per capita (US dollars),"16,250",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2005,GDP per capita (US dollars),"26,960",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2010,GDP per capita (US dollars),"40,518",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2015,GDP per capita (US dollars),"37,150",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2017,GDP per capita (US dollars),"41,028",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2018,GDP per capita (US dollars),"41,624",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2019,GDP per capita (US dollars),"39,169",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,1995,GDP in constant 2010 prices (millions of US dollars),"788,545",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2005,GDP in constant 2010 prices (millions of US dollars),"1,120,291",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
9,Oceania,2010,GDP in constant 2010 prices (millions of US dollars),"1,276,520",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
